职位名称,薪资,公司,行业,公司规模,融资阶段,城市,经验要求,学历要求,工作性质,职位描述,薪资下限,薪资上限,薪资中值,主行业,岗位类别
数据分析工程师,7k-13k,人人贷,金融,150-500人,A轮,北京,经验不限,本科及以上,全职,"职位描述
        职位介绍: 1、负责市场、营销、产品、用户行为等数据的挖掘、业务逻辑分析等工作，对公司的战略决策、业务优化需求提供支撑； 2、建立相关的分析统计模型，为公司经营管理提供数据支持； 3、基于大规模用户行为数据，建立并优化推荐系统的基础算法和策略； 4、与前Google、百度、华为、宜信、知名私募等互联网和金融领域TOP公司的同事组队工作； 5、团队多名成员在10+个国家拥有工作经验或毕业于清华北大等一线院校；  任职要求： 1、金融、经济、数学、物理、计算机等相关专业本科、硕士研究生或博士研究生； 2、熟悉统计分析，有R、Python、Matlab或SAS、SPSS等使用经验； 3、了解数据库相关和Linux基本操作为佳； 4、良好的框架思维能力和优先级判断力； 5、个性开放，易沟通，良好的表达能力，责任心强，考虑问题细致，执行力强； 6、有BI分析、管理咨询、数据挖掘等相关领域项目经验者优先；",7,13,10.0,金融,数据工程
数据分析专员/助理,5k-6k,华中投资,金融,150-500人,上市公司,北京,经验不限,大专及以上,全职,"职位描述
        岗位职责： 1.负责收集及整理各分公司数据，并整理撰写报表； 2.定期编制各部门需求数据 日报表、周报表、月报表。 3.征信数据的整理与上报； 4.领导安排的其他数据信息类工作； 5.为人耐心细致，工作认真，有求知欲，具敬业精神、沟通能力和团队合作精神。 任职要求 1、2年以上的数据分析相关经验，有电商或金融类行业经验者优先； 2、精通OFFICE软件，特别是EXCEL，了解SPSS等数据分析工具； 3、条理清晰，有良好的表达能力及沟通能力； 4、做事认真细心，有上进心，有责任感，能承受一定的工作压力，团队意识强。 技能态度：对数据敏感 ，思维敏捷，有很强的逻辑分析能力。较强的自我管理能力，有上进心、踏实肯干。
零基础无经验的，公司提供免费提供带薪的岗前培训。",5,6,5.5,金融,数据分析
数据分析专员,8k-12k,58月嫂,"生活服务,O2O",50-150人,A轮,北京,经验3-5年,本科及以上,全职,"职位描述
        职位描述
工作职责:
1.月报、周报、日报等固定报告的综合分析和管理工作，并保证数据准确、完整、安全；
2.项目数据统计分析：对平台上线项目或业务改进数据进行分析，为公司相关部门提供数据支持与决策帮助；
3.临时需求分析处理：支持业务部门日常临时数据需求的处理，向部门提供可行建议与方案；
4.通过数据模型能够用于监控重要业务发展趋势，分析原因及做出合理的预测；
5.带领并培养其他数据人员。
任职要求：
1.数学、统计、计算机相关专业本科学历；
2.熟练使用流量分析工具、数据库查询语言及其他数据统计工具(Google Analytics，SQL，Excel，SPSS等)；
3.较好的数据分析能力，敏锐的洞察力，良好的逻辑分析能力，善于从海量数据中总结规律，可及时根据积累的数据发现潜在问题；
4.通过数据模型能够用于监控重要业务发展趋势，分析原因及做出合理的预测，推动业务的调整或改善；
5.有良好的沟通技巧、较强的责任感和团队合作精神。
 优先条件：
1.传统IT行业；
2.较强数据分析能力和执行力、较强的风险评估能力、创新意识；
3.良好的团队合作意识、较强的责任感。",8,12,10.0,生活服务,数据分析
数据分析开发工程师,10k-20k,链商,"移动互联网,电子商务",150-500人,A轮,北京,经验不限,本科及以上,全职,"职位描述
        1、参与商业数据基础数据平台的研发;2、参与数据采集、大数据存储、数据分析、可视化研发； 3、参与报表系统、ETL系统等基础平台系统的设计与开发； 4、参与数据产品的设计和开发。  任职要求： 1、计算机相关专业本科及以上学历； 2、算法基础扎实，熟悉常用数据结构和算法； 3、精通Java/Python/php/go至少一种； 4、熟练掌握SQL，有mysql相关开发经验； 5、熟悉常见的开源分布式计算/存储相关技术，精通Hadoop/MapReduce/Hive/Spark等，并有运维和调优经验者优先； 6、有ETL、日志采集、海量数据处理、BI、数据仓库建模、数据挖掘等相关工作经验者优先； 7、有较好的沟通交流能力,善于主动思考和行动，乐于解决具有挑战性的问题。",10,20,15.0,移动互联网,数据工程
数据分析实习生,2k-4k,AbleCloud,硬件,15-50人,A轮,北京,经验不限,本科及以上,全职,"职位描述
        [职位描述]与客户沟通数据分析需求客户数据对接，做ETL后导入数据分析平台优秀者可参与数据分析平台研发[任职要求]计算机本科及以上学历熟练掌握C++/JAVA/GO/PHP/PYTHON至少一门语言有日志解析经验、数据库知识者优先有Linux环境开发经验有工作热情，fulltime实习时间至少2个月实习生待遇200~300元/天
=====AbleCloud简介=====AbleCloud（智云奇点）是国内首家智能硬件PaaS云平台，面向IoT企业/开发者提供可定制云端功能开发，海量硬件数据存储与分析等基础设施，加速硬件实现联网智能化。AbleCloud拥有业界最优秀的技术团队，由来自百度，阿里，小米，微软，腾讯的十多位核心架构师组成豪华云计算梦之队（团队平均值为百度T6,阿里P7,腾讯T2.3）。团队从1000多家企业中脱颖而出入选微软加速器第七期。万物联网的时代，AbleCloud已经准备好了最专业稳定的基础设施。『云端服务一体化开发引擎』，业内独创一体化开发引擎架构，自动解决底层连接、存储、分布式集群部署、弹性扩容、安全等难题，让开发者直接基于AbleCloud平台开发出硬件需要的任何云端服务；『大数据分析引擎』提供海量数据分析平台，可以支持T级别以上数据的实时分析，提供简单易用的数据收集方案；『IoT功能组件及方案超市』，提供丰富的IoT功能组件及方案，开发者可直接使用，无需“重复造轮子”。我们的合作平台包括了微信，阿里云，京东JD，联想，海尔等。=====创始团队：我们期待与更多优秀的人一同前行=====CEO李海磊：前百度大数据平台架构师,微软Bing架构师，小米开放云平台负责人，在智能硬件云平台和大数据方面有丰富的经验。Co-founder孙志东:前百度基础架构部架构师,阿里巴巴核心系统部架构师，分布式系统设计和大数据存储领域技术专家。Co-founder孙文现:前百度高级产品运营经理，2006年加入百度，曾担任百度质量部技术委员会主席，领导百度联盟，网盟推广系统，曾带领过超过50人的团队，具有丰富的商业产品研发，拓展和运营经验。Co-founder陈鹏：前百度架构师，2008 年加入百度， 在基础架构部从事分布式系统研发。主导百度分布式消息队列、百度 IDC 带宽调度管理系统、公有云计费 /IAM 系统、大数据分析平台等研发。在分布式系统、大数据分析及 hadoop、 hbase 等开源系统方面经验丰富。Co-founder崔潇扬：天津大学，毕业后加入大唐移动从事通信技术的研发。是国内首批参与4G通信协议的制定和研发人员，拥有多件通信技术专利。曾担任大唐移动的产品经理，带领团队推出了国内首家通过GCF认证的4G手机一致性测试仪表，目前应用于多个认证组织和运营商的手机入网入库测试当中。地址：北京市海淀区西二旗软件园二期博彦科技大厦",2,4,3.0,硬件,数据分析
数据分析 | BI,8k-15k,艺宝网络,电子商务,50-150人,不需要融资,北京,经验3-5年,大专及以上,全职,"职位描述
        岗位职责：
1.负责公司运营数据分析，对流量、用户、商品、订单、进销存等数据进行分析与研究，为公司运营、市场、产品研发、销售策略提供数据分析支持；
2.配合业务部门，为各部门决策层提供战略决策数据支持，建立并规范数据分析流程；
3.根据数据分析结果，发起并带领公司级改善项目

任职资格：
1.数理统计相关专业本科，3年以上数据分析相关工作经验；
2.对数据敏感，有较强的数据分析判断能力；
3.熟悉电商业务运营，熟悉电商BI系统的相关产品和数据分析模型；
4.熟练使用各种数理统计、数据分析、工具软件；
5.良好的沟通能力，文字表达能力，具备较强的撰写分析报告的能力",8,15,11.5,电子商务,BI/报表
客服数据分析,4k-6k,麻小外卖,"O2O,电子商务",150-500人,不需要融资,北京,经验不限,大专及以上,全职,"职位描述
        岗位职责：
1、业务部门相关数据统计分析
2、和业务部门沟通解决相关问题
3、客服部门相关数据统计
岗位要求：
1、大专及以上学历
2、有耐心、抗压能力强
3、沟通能力和解决问题能力强",4,6,5.0,O2O,数据分析
数据分析工程师,4k-8k,百合网,移动互联网,500-2000人,未融资,北京,经验应届毕业生,本科及以上,全职,"职位描述
        岗位职责： 1. 公司运营数据分析体系的建立、维护及优化；
2. 负责运营、产品等内部数据的整理、分析，并建立相关的分析统计模型；
3. 管理和改进项目的数据分析模块，建立数据异常预警机制；
4. 建立重要的数据监控流程，周期性的提供运营分析报告；
5. 负责专项数据分析，为公司运营管理提供数据支持；任职资格：1.熟悉掌握SQL语句；
2.熟悉数据仓库相关技术者优先；
3.熟悉数学、统计学和计算机中有关数据分析相关的方法论和原理者优先； 
4.了解一门语言者优先，如R、Python、Java、Php等；
5.了解hadoop生态组件优先（如：Hive/MapReduce/Spark/Hdfs等）；
6.了解ETL原理//工具/语句者优先；
7.了解可视化工具者优先；
8.学习领悟能力强，能快速的接收和转化新知识的能力。",4,8,6.0,移动互联网,数据工程
BI数据分析,20k-40k,滴滴出行,移动互联网,500-2000人,D轮及以上,北京,经验3-5年,本科及以上,全职,"职位描述
        工作职责：
1、数学、统计、计算机等相关专业本科及以上学历；211大学本科毕业，硕士毕业希望有3年以上工作经验；
2. 具有数据挖掘相关项目实施经验，参加过完整的数据挖掘项目并有过完整的独立建模者优先考虑；
3、熟练使用Excel，Word，PPT等办公文档，精通 SPSS、SAS、R等统计软件；
4. 熟练使用SQL查询语句，精通C, C#, Java, Matlab, PHP等语言的其中之一； 
5. 具有较强的逻辑思维能力和对数据拥有较高的敏感度；
6. 具有良好的人际沟通能力。

任职资格：
1、负责互联网行业相关业务数据的收集、整理及统计计算；
2、基于数据分析，为业务问题提供诊断，撰写相关数据分析报告和文档；
3、根据客户特定需求，通过数据统计和数据模型研究来实现构建业务应用模型。",20,40,30.0,移动互联网,BI/报表
数据分析实习生,2k-4k,百度外卖,"O2O,生活服务",500-2000人,B轮,北京,经验不限,本科及以上,实习,"职位描述
        岗位职责:
1、理解学习各类业务，熟悉相关业务流程；
2、在理解业务的基础上，满足需求方的数据需求，完成数据提取、分析等工作；
3、根据数据分析结果，提供相应的分析报告，完成相应沟通和汇报工作；
任职资格:
1、本科（含）以上学历，计算机、数学、统计学、金融、经济学等相关专业；
2、每周实习天数至少四天，可以实习六个月及以上的同学优先；
3、熟练使用SQL，可以熟练使用php或python脚本语言者优先；
4、工作认真负责，对数据分析有热情，对数据有一定的敏锐观察力",2,4,3.0,O2O,数据分析
数据分析专员,5k-8k,百利天下教育,教育,500-2000人,不需要融资,北京,经验1年以下,本科及以上,全职,"职位描述
        数据库管理员
职位描述
负责公司后台数据库的设计、存储和维护等相关工作
公司数据库的性能优化
临时性数据的整理和分析工作
根据业务流程要求确定公司数据库相关规范标准和贯彻执行
任职资格
熟练使用SQL Server或MySQL数据库（函数、存储过程、触发器、视图）
较强的学习能力和抗压能力
本科（含）以上学历，计算机相关专业
有数据分析或相关软件实施工作经验优先考虑
有报表设计、BI、ETL相关经验优先考虑",5,8,6.5,教育,数据分析
数据分析专员,5k-7k,优配良品,"移动互联网,O2O",150-500人,B轮,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
1.分析业务部门实际需求，规划、全方面分析客户端数据，对产品改进提供数据支持；
2.通过数据挖掘和统计报表，提升业务部门运营数据的透明度，提升运营效率；
3.熟练运用各种内外部数据统计工具，快速响应各个部门的数据需求；
4.整理、提炼已有的数据报告，发现数据变化，进行深度专题分析，形成结论，撰写报告；
5.与业务部门进行业务需求沟通，并整理出相应的需求和流程文档，确定开发目标；
岗位要求：
一、经验要求：
1.本科及以上学历；
2.有数据分析/用户行为研究的项目实践经验；
二、知识技能要求：
1.有扎实的分析理论基础，精通1种以上统计分析工具软件，如SPSS、SAS，熟练使用Excel、SQL等工具
三、素质要求：
1.具有良好的沟通能力、协调能力，愿意与人主动沟通，具备团队协作精神
2.自我驱动力强，具有较强的个人影响力；
3.心态良好，能承受挫折与压力，保持积极的工作状态；
4.思维敏捷，性格开朗，责任感强；
5.有较强的学习、逻辑思维及分析能力。",5,7,6.0,移动互联网,数据分析
数据分析工程师,10k-20k,陌陌,社交网络,150-500人,上市公司,北京,经验1-3年,本科及以上,全职,"职位描述
        工作职责：1、负责陌陌的日常数据监控和分析研究，发现产品问题和用户变化并提出建议，为产品和运营提供数据支撑；2、基于用户行为的分析建模，利用用户属性和行为模型对陌陌产品进行评估和改进；3、配合公司的战略发展，对现有业务或新业务进行高质量的数据分析，支持管理决策；4、跟踪行业趋势，定期输出竞品/行业分析报告；5、参与相关数据分析、评估监控的工具平台的研发，负责需求抽象、数据模型设计等工作。
职位要求：1、计算机、应用数学、统计或相关专业本科及以上学历（硕士或博士优先）；2、扎实的数据分析/数据统计理论和技术基础，有1年以上的实际工作经验；3、良好的沟通表达能力，较强的产品和用户意识，对问题抽象概括能力强；4、精通SQL数据查询语言，熟练使用一种数据分析工具（R、matlab、spss等）和Excel工具；5、熟悉Linux开发环境，熟悉一种脚本语言（Python / Awk等）编程经验者优先；6、对数据仓库、多维分析建模有深刻的理解优先；8、具有良好的学习能力、时间和流程意识、沟通协作能力。",10,20,15.0,社交网络,数据工程
数据分析专家,15k-20k,汽车之家,"移动互联网,文化娱乐",2000人以上,上市公司,北京,经验3-5年,硕士及以上,全职,"职位描述
        职位描述：所谓专家是指在自己的领域能够独立的推动业务进展，能够独立的探索问题解决路径。
岗位职责:
1.算法设计。负责项目评估、推荐算法、排序算法的理论研究或项目实践。
2.数据化运营。对用户行为研究、用户画像、精细化运营有相关的工作经验和深刻理解；
3.专题报告。具有数据敏锐性，能够发现数据变化，进行深度专题分析，形成结论，撰写专业的有价值的分析报告；
4.推动数据平台建设。能够根据业务分析从专业的角度对BI体系和可视化平台提出建设性意见；
5.支持业务。根据数据报表或专题研究成果对业务运营提出具有可操作性的意见。
 
职位要求：
1.统计学、计量经济学、数据挖掘、计算机、经济学等相关专业硕士及以上学历。
2.三年以上数据分析经验，有在互联网公司、咨询公司等平台进行数据分析工作经验优先。
3.在专业的数据建模能力、很好的业务敏感性、很好的常用数据脚本的开发功底这三者中具备两个以上。
4.能满足岗位职责中三条及以上需求。
5.熟悉linux系统及常用命令；熟练使用 SQL，熟练使用 Excel，掌握JAVA、 R、PYTHON、SAS 等至少一种语言的。
6.有项目评估、数据挖掘、用户行为研究、推荐算法、排序算法的理论研究或项目实践经验的优先。",15,20,17.5,移动互联网,数据分析
BI(数据分析),8k-15k,凯奇谷（北京）信息技术有限公司,"移动互联网,游戏",150-500人,不需要融资,北京,经验1-3年,本科及以上,全职,"职位描述
        职位描述：1、负责游戏数据的日常处理、监控和统计分析。2、制作数据分析报告，为决策层提供数据支持。3、深度挖掘游戏用户的行为特点，用数据推动运营。4、参与BI数据分析系统的搭建。
任职要求：
1、一年左右数据分析工作经验，统计、数学、计算机等相关专业优先。
2、熟悉常用的数据统计和分析方法和工具。
3、熟悉excel、ppt的基本操作。4、熟悉Linux的基本操作，熟悉python脚本语言、mysql等关系型数据库，优秀的sql语句编写能力。5、思维缜密，学习能力强，工作积极主动，有较强抗压能力，对数据分析感兴趣。",8,15,11.5,移动互联网,BI/报表
数据分析工程师,10k-20k,乐视,移动互联网,2000人以上,上市公司,北京,经验3-5年,本科及以上,全职,"职位描述
        1、根据对产品业务的理解，梳理数据需求，建立相关业务模型并开发报表;2、及时响应数据统计需求，并提供适当的分析解读;3、现有数据平台的管理、维护和优化;==我们爱这样的你==1、熟悉SQL，有较好的SQL性能调优经验，理解Hive/Mysql的基本原理和调优策略;2、熟悉Shell和Linux开发环境，拥有Perl、Python等开发经验;3、了解Hadoop及其相关项目,如Hive、Spark、Storm、Hbase等优先;4、有日志采集、海量数据处理、数据仓库建模等经验者优先；5、对数据敏感，逻辑严谨，沟通能力好，工作积极主动，乐于接受挑战;",10,20,15.0,移动互联网,数据工程
数据分析工程师,10k-15k,HyperStrong,"企业服务,分类信息",150-500人,天使轮,北京,经验不限,本科及以上,全职,"职位描述
        1、负责新能源汽车数据平台相关产品的数据分析，进行数据挖掘
2、监控车联网系统数据运营情况，整理相关报告
3、根据客户或公司其他部门的要求，整理相关数据分析报告
4、跟踪分析车辆运行数据，发现问题，验证电池算法等",10,15,12.5,企业服务,数据工程
数据分析研发工程师（中级）,20k-30k,学乐,教育,150-500人,C轮,北京,经验3-5年,本科及以上,全职,"职位描述
        工作职责：
1、负责公司数据分析类产品的设计与实现。
2、负责公司用户数据建模及行为分析。
职责要求：
1、熟练使用hadoop/hive/hbase/spark/kafka/storm 等大数据相关开源工具中至少2种，并有一定任务优化经验。
2、掌握JAVA编程语言，至少熟悉php, python, shell等一种脚本语言。
3、有数据仓库开发经验，熟悉数据仓库基础理论。
4、优秀的分析问题和解决问题的能力。
5、较强的沟通能力和逻辑表达能力，具备良好的团队合作精神和主动沟通意识。
6、具有以下条件者优先： 熟悉OLAP、数据挖掘、推荐系统者优先。",20,30,25.0,教育,数据工程
数据分析实习生,1k-2k,新东方在线,"移动互联网,教育",500-2000人,不需要融资,北京,经验不限,硕士及以上,实习,"职位描述
        工作职责：测试分析、处理数据
任职要求:
1）具备良好的行业分析、判断能力、及文字表达能力；
2）沟通能力强，有较高的数据敏感性及分析能力；
4）具有良好统计学及相关领域的理论基础，熟悉数理统计、数据分析的工作方法，具有较强的数据分析能力；
5）熟悉数据分析与数理统计理论，具有相关课程研修经历。
6）熟悉Linux操作系统及至少一种脚本语言(Shell/Perl/Python)者优先；
7）熟悉C/C++/Java中的一种，有分布式平台（如Hadoop）开发经验者优先；
8）熟悉数据库原理及SQL基本操作者优先；",1,2,1.5,移动互联网,数据分析
数据分析高级工程师,15k-30k,爱狄特,"数据服务,其他",150-500人,不需要融资,北京,经验5-10年,本科及以上,全职,"职位描述
        岗位职责：1、全面理解业务和数据，识别可通过数据分析解答和帮助解决的业务问题或流程、系统缺陷，并将其转为分析项目，推动分析项目的执行；2、设计和实施数据分析项目，通过统计、数据挖掘建模等数据分析手段分析数据，并将分析过程整理成技术类分析报告，将分析成果和应用建议整理成业务类汇报材料，完成相应沟通和汇报工作；3、通过培训和分享，带动其他团队成员成长。 任职资格：1、大学本科或以上学历，计算机科学、数学、统计等相关专业。2、5年以上数据分析、BI领域工作经验，成功实施过大数据分析项目；3、熟练使用数据挖掘、机器学习、统计学的常用算法。拥有海量数据处理和挖掘经验者优先；4、精通一种数据分析工具，例如R\SAS\SPSS等，熟悉R语言者优先；5、熟练掌握SQL，熟悉Hadoop者优先；6、具有良好的商业敏感度和优秀的数据分析技能。能够开发创新且实用的分析方法以解决复杂的业务问题。7、具有优秀的报告撰写能力、讲解及沟通能力，擅长商业性质的交流沟通；8、具有服务客户的思维模式和意识；9、优秀的团队合作精神，善于沟通、乐于分享、诚实、严谨、勤奋。",15,30,22.5,数据服务,数据工程
数据分析岗,15k-20k,九州证券,金融,500-2000人,不需要融资,北京,经验不限,硕士及以上,全职,"职位描述
        岗位职责：
1. 与业务部门沟通协作，进行需求分析，建立有效的分析模型和分析展现；
2. 运用统计分析和数据挖掘技术，对业务和技术数据进行深入分析。
任职资格：
1. 全日制硕士及以上学历，统计学、数学、计算机、金融工程等相关专业，3年以上数据分析工作经验；
2. 熟练使用EXCEL、R/Python、SQL，能够进行复杂数据处理，具有良好的分析报告撰写能力，能制作数据分析报告；
3. 熟练掌握数据分析体系架构、方法和相关数据建模知识，有海量数据分析经验者优先；
4. 具有证券等金融行业相关项目经验两年以上。",15,20,17.5,金融,数据分析
数据分析专员,4k-5k,中企信星,"移动互联网,电子商务",150-500人,未融资,北京,经验应届毕业生,大专及以上,全职,"职位描述
        岗位职责：
1.随时关注网络舆情，对话题和情绪进行引导与监控；
2.探索并归纳各项行业资料，做好竞品分析，撰写分析报告；
3.对公司舆情数据的相关资料进行采集和研究，完善重要数据监控流程，对数据进行深度分析和挖掘，发现负面新闻时及时预警，并发掘有价值的信息，为公司运营提供帮助；
4.管理相关供应商，包括监督与优化其工作流程，提升其研究成果的质量；
5.与相关部门紧密配合，协调沟通；
岗位要求：
1.掌握基本的Office办公软件（如Outlook、Excel、ppt、visio）应用。
2.有较强的集体荣誉感及团队协作精神，熟悉产品运营和流程优化，对于重大投诉和突发事件需要有危机意识，并有快速应对的能力。
3.学习能力强，工作积极主动，有较好的抗压能力，能适应周末值班的工作安排。
4.大专以上学历，应届生即可；",4,5,4.5,移动互联网,数据分析
高级数据分析开发工程师,15k-30k,阿里巴巴－神马搜索,移动互联网,500-2000人,不需要融资,北京,经验3-5年,本科及以上,全职,"职位描述
        岗位描述：
1、参与/负责用户产品效果评估和支撑，并构建规范化评估体系与流程2、参与/负责用户行为数据的挖掘与建模，研发用户体验指标3、参与/负责基于海量数据的日志分析计算、大数据产品设计与开发
岗位要求：
1、熟悉互联网、热衷前沿技术，具有良好的开放思维能力2、具有良好的数据嗅觉，充分挖掘数据中潜在价值3、精通Python/C++语言和数据结构，编码基本功扎实4、具有丰富的大规模日志开发经验，支持海量数据的计算、分析服务功能5、具有优秀的分析和解决实际问题的能力和态度6、具有统计学、数学相关背景者优先",15,30,22.5,移动互联网,数据工程
数据分析经理,14k-25k,金色家园科技,O2O,500-2000人,不需要融资,北京,经验3-5年,本科及以上,全职,"职位描述
        岗位职责：
1、 负责制定数据统计规范，设计统计及分析模板；
2、 协调、监督各相关部门的数据操作行为，保持数据的一致性、精确性、完整性，不断改善数据质量；
3、 负责大数据提取，自动化报表设计开发工作；
4、 负责各项运营数据统计与分析工作，并能结合运营实际，提出改善意见，撰写各项运营问题分析报告；
5、 负责对数据业务进行培训与指导，推进相关业务模块的标准化建设。

任职资格:
 
1、 有丰富的数据产品经验，熟悉数据可视化工具及方法；
2、 对数据敏感，能从大数据中洞察价值，具备敏锐的商业嗅觉，具有较强的数据挖掘和数据分析能力；
3、 熟练运用数据统计分析等相关软件，SQL、最好熟悉统计分析软件（SPSS、R等等），统计学等相关专业毕业优先考虑；
4、 业务需求：了解或熟悉电商或物流业务；
5、 2年以上数据分析相关工作经验，1年以上的团队管理经验；
6、 个人特质：有激情、思维灵活。",14,25,19.5,O2O,数据分析
数据分析实习生,4k-6k,时趣social-touch,移动互联网,500-2000人,D轮及以上,北京,经验应届毕业生,本科及以上,实习,"职位描述
        工作内容：
1、将一线业务运营情况通过数据分析及时总结，梳理，提炼，并将结果反馈;
2、分析会员积分政策存在的问题，结合行业现状，指导会员积分策略的优化;
3、分析会员行为数据，将会员合理分层，同时结合会员策略，提出会员引导优化建议;
4、负责会员画像、会员标签及其算法研究，对会员标签精准度负责，对会员交叉营销和精准营销提出建议;
5、基于会员主题营销活动策划，根据活动执行效果形成分析报告。

任职资格：
1、数学、统计学相关专业本科以上应届毕业生，可稳定实习者优先;
2、具有会员分类、产品研究与积分策略的分析模型设计能力。",4,6,5.0,移动互联网,数据分析
数据分析工程师,15k-28k,百度,移动互联网,2000人以上,上市公司,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
    1.  基于对业务的深入理解，支撑部门数据需求；
    2.  负责数据预处理、清洗、迁移和维护
技能要求：
    1.1-3年互联网相关经验
    2.熟悉Mysql或Oracle数据库，能够熟练编写SQL，熟悉SQL优化
    3.熟悉java、Php、Python中至少一种语言
    4.熟悉hadoop使用和MapReduce计算原理，至少熟悉Hbase/hive/spark中一种应用
    5.有清晰的逻辑思维，能理解统计分析要求，数据处理认真细致
符合以下条件优先：
    1.英文技术文献阅读和理解能力
    2.大型互联网公司海量数据处理经验
    3.思路清晰，主动性强，有很强的自我驱动能力",15,28,21.5,移动互联网,数据工程
数据分析工程师,15k-25k,三一重能,其他,500-2000人,不需要融资,北京,经验1-3年,硕士及以上,全职,"职位描述
        岗位职责：1.对结构化数据进行数据清洗及相关性分析；
2.利用数据挖掘相关算法解决实际问题。
 
任职资格：1.硕士及以上学历，数学、统计学、计算机、信号处理等相关专业；2.1-3年数据分析、数据挖掘相关工作经验，必须具有数据挖掘具体项目实施经验；3.熟悉数据挖掘相关算法，熟练使用Python等相关数据挖掘工具。",15,25,20.0,其他,数据工程
数据分析专家,6k-9k,美团点评,"移动互联网,O2O",2000人以上,D轮及以上,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责： 
1.根据商家经营数据维度，监测商家各项数据指标并诊断分析；
2.建立并完善日常业务数据报表，负责日报、周报、月报数据展示及分析；
2.负责专项数据分析并输出分析报告，为业务提供数据支持；     
3.能够持续动态的挖掘业务数据，发现问题并提出优化建议；
4.对营销活动和运营活动等数据进行总结优化；     
5.分析竞对商家数据，出具商家多平台对比数据分析报告。

岗位要求：
1.2年以上数据分析/挖掘相关工作经验；有互联网相关行业经验； 
2.具备大数据的处理能力，掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS、PPT等工具；               
3.良好的数据敏感度，能从海量数据提炼核心结果；
4.具备良好的数据呈现能力，能够及时、准确、完整的完成数据分析报告；
5.有丰富的数据分析、挖掘、清洗和建模的经验；     
6.具备良好的逻辑性和系统性思维能力，良好的跨团队的沟通能力；   ",6,9,7.5,移动互联网,数据分析
数据分析经理,15k-20k,去哪儿网,移动互联网,2000人以上,上市公司,北京,经验3-5年,本科及以上,全职,"职位描述
        工作职责：
1、深入理解产品、业务需求，以结果为导向进行数据分析挖掘，能落地；  2、支持从需求剖析、框架设计、分析挖掘、数据可视化到结果评估优化的完整项目流程；  3、基于海量用户行为数据和其他数据，分析和研究数据与实际业务的关联关系； 4、深入理解业务模型和未来趋势，从对产品、业务和商业的分析挖掘中寻找数据商业价值点，从整体的角度寻找数据的商业价值和机会。  任职资格： 1、两年以上数据分析岗位相关工作经历； 2、熟悉常用的统计工具，并能够形成相关的报表； 3、熟练使用各种办公软件，能独立撰写数据分析报告； 4、熟悉电子商务网站的数据分析模型和用户数据分析模型，了解如何通过数据分析优化电商平台； 5、对数据驱动业务有深入理解，对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力； 6、具备良好的沟通能力和团队合作精神。",15,20,17.5,移动互联网,数据分析
数据分析主管,8k-15k,京东金融,金融,2000人以上,上市公司,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
1、负责业务运营数据提取工作，负责市场活动推广效果评估的数据支持；
2、提取数据后进行初级的数据分析及整理工作；
3、及时与数据部沟通，掌握数据仓库各表字段含义；
4、定期出具竞争产品分析报告。
任职资格：
1、熟练使用hive、MySQL，了解一般的SQL优化技术，了解LINUX系统常用命令，1年以上的数据提取及分析经验； 
2、具备一定的数据分析能力，能快速理解业务，熟练使用office办公软件，了解SPSS、R其一即可；
3、工作认真，善于沟通，具有良好的团队合作精神，具有互联网金融方面的经验优先。",8,15,11.5,金融,数据分析
用户运营（数据分析方向）,6k-8k,同仁堂国际,"移动互联网,电子商务",50-150人,天使轮,北京,经验3-5年,本科及以上,全职,"职位描述
        岗位职责：
1、了解电商行业，具备行业的数据分析经验，负责运营数据体系的搭建。
2、日常运营数据整理、分类、统计，定期（日/月/季度等）提交日常数据分析报告，并跟踪日常运营数据监测报表，及时发现运营过程存在的问题，为部门日常运营提供数据支持；
3、对营销活动、运营活动等进行数据总结和优化，提供决策支持；
4、跟踪产品发展，搭建PC/APP统计指标体系，监控重点数据，能从数据异动中发现问题并反映问题；
5、定期与技术团队沟通，输出报表展示需求及算法逻辑。
6、检测各关键数据是否存在异常，并将异常进行预警反馈。
 
任职要求：
1、2年以上电商数据分析工作经验；
2、具备大数据的处理能力，掌",6,8,7.0,移动互联网,数据分析
安全数据分析技术专家,25k-35k,滴滴出行,移动互联网,500-2000人,D轮及以上,北京,经验5-10年,本科及以上,全职,"职位描述
        工作职责：
1、负责安全数据平台建设，产出安全数据需求，推动丰富安全数据平台中数据
2、负责分析安全数据并进行监控策略的制定、优化
3、负责挖掘深沉潜藏的安全事件
4、参与安全事件的应急响应、调查分析、追踪
职位要求：
1、有三年及三年以上安全相关工作经验
2、有丰富的安全攻防经验
3、具备一定代码能力，能用自动化解决问题
4、具备大数据相关工具进行海量日志分析的能力，对告警事件有理解、分析、判断和优化能力
5、对技术有浓厚的兴趣
6、综合素质要求：逻辑能力，责任心，敏锐，主动
7、本科及以上学历",25,35,30.0,移动互联网,数据分析
