职位名称,薪资,公司,行业,公司规模,融资阶段,城市,经验要求,学历要求,工作性质,职位描述,薪资下限,薪资上限,薪资中值,主行业,岗位类别
数据分析,15k-30k,APUS Group,移动互联网,50-150人,B轮,北京,经验3-5年,学历不限,全职,"职位描述
        1、推广渠道质量监控
a) 优化APUS现有渠道推广数据系统，改进RFM模型，搭建APUS客户端推广渠道质量监控体系，制定了完整的渠道质量预警机制；
b) 多纬度分析，甄别作弊渠道，监督市场推广；
c) 改进APUS客户端渠道推广数据统计规则，让渠道得到更加公平的推广数据；
2、新用户首页运营，提升新用户的点击率
a) 分析新用户首页数据，推动个性化运营方案实施，针对用户特征推送差异化的首页推荐内容。
b) 独自负责新用户首页数据需求，并推进上线，包括分渠道、分地域的PV、UV、VV数据、客户端安装数据，首页媒体分渠道、分地域用户数据等。
3、弹窗个性化运营，提升用户活跃度；监控用户行为数据，根据其行为特征，差异化运营弹窗推荐内容，唤醒有流失风险的用户。
4、跟进客户端发版，分析版本对用户的影响，提供快速应对策略。
项目
3：移动端运营
1、监测APP推广渠道用户质量，分析排查异常渠道。
2、分析移动客户端推广数据，改进热门应用页设计，首屏位置换量能力提升10%。
3、资源合作数据核算与效果评估
a) 核算资源价值，推动视频资源置换客户端用户等多元合作，支持决策和效果评估；
b) 负责合作产品内嵌页数据需求，包括合作产品的相关数据、客户端激活数据等；
4、完善APP 数据上报，改进现有移动端用户统计系统，辅助移动端推广工作；特别是在IOS系统升级至IOS7之前，提前做出准备，改进IOS系统用户统计规则，保证苹果正式发布IOS7系统时，用户统计平稳过渡。",15,30,22.5,移动互联网,数据分析
数据分析,6k-12k,闪电购,"移动互联网,O2O",150-500人,B轮,北京,经验1-3年,本科及以上,全职,"职位描述
        职责描述：
 
1、进行数据挖掘和数据分析，支持业务需求，输出准确的数据分析结果，对业务运营提供有效建议，辅助公司策略的制定。
 
2、定期整合商品销售数据，建立品类、商品、价格分析的数据监控报表，发布品类和商品经营分析报告。
 
3、跟踪产品发展，搭建APP统计指标体系，监控重点数据，能从数据异动中发现问题并反映问题；对产品相关的热点问题，收集相关数据，输出有价值的专题分析报告，用数据支持决策，为产品的优化调整提供意见和决策。
 
4、定期与技术团队沟通，输出报表展示需求及算法逻辑。
 
5、日常运营数据整理、分类、统计，定期提交日常数据分析报告，并跟踪日常运营数据监测报表，及时发现运营过程存在的问题，为部门日常运营提供数据支持；
 
6、参与业务部门数据分析需求的调研、分析及实现；
 
7、对业务部门提供报表进行效果跟踪，检测各流量数据是否存在异常，并将异常进行预警反馈；",6,12,9.0,移动互联网,数据分析
数据分析,10k-20k,宜信,"移动互联网,金融",2000人以上,不需要融资,北京,经验1-3年,本科及以上,全职,"职位描述
        岗位描述：数据处理分析师
1、 定期负责财富管理平台数据抓取及整理成业务报表, 为管理层决策提供数据支撑和建议
2、 支持各运营部门对客户管理的数据需求工作
 
职位要求：
1、大学本科以上学历，统计学,数学,计算机相关专业；
2、熟练掌握OFFICE套件，熟练使用SQL，熟练使用SAS及 至少1种其它类别的专业数据分析工具（R、MATLAB）或编程语言（C++、JAVA、PYTHON等），
3、起码2年以上数据挖掘及分析相关工作经验, 具逻辑思维、对数字敏感且工作细心",10,20,15.0,移动互联网,数据分析
数据分析,8k-15k,京东金融,金融,2000人以上,上市公司,北京,经验3-5年,本科及以上,全职,"职位描述
        岗位职责：
1、针对公司业务的数据进行深入分析，为公司决策、产品运营提供数据支持；
2、监控、收集、分析行业及竞品数据，帮助业务部门更深入理解行业市场现状及发展趋势；
3、跟踪并分析用户行为，发掘用户规律，制定针对性策略，提升用户健康度；
4、根据部门安排，定期汇总监测数据，形成数据报告。
任职资格：
1、两年以上互联网工作经验，有电子商务相关工作经验者优先；
2、具有独立进行数据分析和完成数据建模项目的能力，数据敏感性强；
3、熟练使用SPSS、SAS等软件进行数据分析；
4、具有独立工作能力和分析判断能力、良好的人际交往能力与团队合作精神；
5、熟悉互联网金融行业；
6、全日制本科以上学历，统计学、数学、心里学等相关专业，有海外留学经验者优先。",8,15,11.5,金融,数据分析
数据分析,6k-10k,安居客北京分公司,移动互联网,500-2000人,不需要融资,北京,经验1-3年,大专及以上,全职,"职位描述
        岗位职责：


1.负责房产事业部的数据分析，根据产品线业务需求进行数据加工、数据分析及数据展示，撰写相应分析报告、为公司产品运营提供策略及建议；

2.结合数据及经营情况，落地运营工作，包括产品，市场及销售整体策略的确定及在各分公司的落地推广

3.通过数据分析，趋势研究等方法，监督业务运营指标，通过日报、周报、月报的形式做数据预警及阶段性分析工作，推动大区及核心业务负责人促进黄页产品销售业绩达成。

4.梳理新业务框架，确定新业务客户定位，销售规则，定价策略。


任职要求：

1.计算机、数学、统计学、数据挖掘相关专业本科或研究生学历
2.具备良好的逻辑思维能力，能够从海量数据中发现有价值的规律

3.具备数据分析报告构建经验，能够独立完成数据报告编写，熟练使用office软件。至少精通EXCEL、SPSS、SAS、SQL或VBA的一种；

4. 性格乐观开朗，具有良好的沟通表达能力，抗压能力，能与团队高效合作，热爱分享，喜欢专研，善于观察，有独立分析、思考和解决问题的能力。",6,10,8.0,移动互联网,数据分析
数据分析,2k-4k,美团点评,"移动互联网,O2O",2000人以上,D轮及以上,北京,经验不限,本科及以上,实习,"职位描述
        岗位职责： 1. 基于美团金融及其他业务产生的数据，开展数据分析，挖掘数据规律 2. 协助搭建指标体系和相应的数据监测体系，为管理层决策和业务策略的制定提供有质量的数据支持 3. 协助实现各分析模块的数据采集，根据实际业务优化 任职资格： 1. 计算机、数学、金融经济相关专业本科以上学历 2. 熟练运用SQL语言半年以上，熟练掌握EXCEL VBA编程，了解数据仓库知识 3. 优秀的逻辑思维能力，严谨认真处理数据的态度，良好的沟通交流能力、团队合作、文字表达能力",2,4,3.0,移动互联网,数据分析
数据分析,4k-6k,每金,O2O,150-500人,不需要融资,广州,经验1-3年,大专及以上,全职,"职位描述
        岗位职责：
1、负责分析各类数据并针对各类问题提出解决方案和营销方案；
2、对专业的数据分析及做好竞争对手数据的采集、统计、评估与分析，并编制报表；
3、建立部门每日、周、月、季、年度数据分析报表 ；
4、研究数据分析的方法，做到报表制作简单、方便、实用 ；
5、公司整体销售与库存数据分析，提出相关行销改善策略，呈报高管决策；
6、整理客户资料，分析客户属性和消费行为；
7、分析客户人群的购买习惯，并通过购买习惯做出相关数据分析。
任职要求：
1、大专或以上学历，数理统计或数据挖掘方向优先；
2、两年以上数据分析经验，熟悉数据分析方法，具有扎实的统计学基础；
3、对数据敏感，热爱数据分析工作、责任感强、有较强的逻辑思维能力；
4、学习能力强，能快速掌握并熟悉市场渠道。",4,6,5.0,O2O,数据分析
数据分析,8k-15k,初音,移动互联网,15-50人,天使轮,深圳,经验1-3年,大专及以上,全职,"职位描述
        岗位职责：
1.监控各个广告产品的投放运营效率指标，CTR、ECPM、ROI、ARPU、PV、UV等指标维度的数据跟踪和异动分析，通过对数据的提取比对找到优化效果的策略；
2.协助和支持广告运营和投放优化以数据支撑，能够多层级多维度制定数据指标，分析并提出数据需求，预测广告投放效果；
3.参与规划广告投放系统的指标优化系统，实现更智能高效的流量投放平台。
 
任职要求：
1.二年以上移动广告行业数据运营经验；
2.对数据逻辑敏感，能用多样的分析方法工具评测转化归因，预估指标效果；
3.较好的团队沟通协作能力，对移动联盟DSP等广告平台有一定了解。
 
加入我们，我们为您提供：
1、舒适优雅的办公环境；
2、具有行业竞争力的薪资；
3、愉悦、团结、开放的精英队伍
4、五天八小时，节假日福利；
5、广阔的发展空间和职业生涯规划；
6、员工旅游、户外拓展；
7、法定节假日（婚假、产假、年假等）；
8、社会保险；
9、住房公积金。",8,15,11.5,移动互联网,数据分析
数据分析,12k-15k,个推,移动互联网,150-500人,C轮,杭州,经验1-3年,本科及以上,全职,"职位描述
        岗位职责：
   通过海量数据的分析和挖掘，为业务运营，拓展和支撑提供洞察和决策支持。商业敏感性强，能深入理解业务，为大数据运营和咨询提供系统化解决方案。

主要职责包括：

- 深入理解公司业务和方向，建立相关业务监控模型和指标，通过统计和分析等手段，为公司产品运营和业务发展等提供决策支持；
- 深入理解客户需求，利用大数据分析的手段，从海量数据中挖掘用户特征，发现具体问题和机会，推进业务演进，打造高质量数据咨询服务；
- 深入理解用户数据需求，整理和维护分析脚本，建设和维护大数据运营和分析平台；
- 深入挖掘数据特征，参与数据挖掘分析和模型算法调研，建设和维护相关数据模型。

岗位要求：

- 本科以上学历，数学、统计和计算机等相关专业优先
- 深刻理解并熟练掌握统计学和数据挖掘的相关算法和技术
- 精通SQL，熟悉至少一种目前主流的数据库（MySQL、Oracle、SQL Server、Teradata等），熟悉Hive或者Spark SQL优先
- 掌握至少一门编程语言（PHP，Python，Perl等），熟练掌握Shell编程
- 有数据分析，数据挖掘，机器学习等相关工作经验优先
- 有海量数据挖掘的项目经验优先
- 对数据驱动业务有深入理解，对数据与业务方面有足够的敏感性，有较强的逻辑分析能力，有较强的独立思考能力
- 具备良好的沟通能力和团队合作精神，能独立完成分析和挖掘任务",12,15,13.5,移动互联网,数据分析
数据分析,4k-6k,无声,信息安全,150-500人,未融资,成都,经验不限,学历不限,全职,"职位描述
        具备技能及任职要求：1、计算机或通信专业本科毕业
2、熟悉TCP/IP协议，熟悉计算机网络相关知识
3、熟悉wireshark、科来等抓包软件，有网络数据分析经验者优先
4、掌握软件逆向静态分析，动态调试，代码跟踪等技术
5、熟练使用IDA等工具进行汇编调试分析
6、做事认真负责，具有敬业、团队协作精神，有较好的学习能力和学习态度
工作内容：负责进行协议分析和软件的逆向工作
 ",4,6,5.0,信息安全,数据分析
